Headlines,Time,Description
Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush," 7:51  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer recommended buying four companies that are supporting vaccine developers."
Cramer's lightning round: I would own Teradyne," 7:33  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Cramer's week ahead: Big week for earnings, even bigger week for vaccines"," 7:25  PM ET Fri, 17 July 2020","""We'll pay more for the earnings of the non-Covid companies if The Lancet publishes some good news from AstraZeneca's vaccine trial,"" Cramer said."
IQ Capital CEO Keith Bliss says tech and healthcare will rally," 4:24  PM ET Fri, 17 July 2020","Keith Bliss, IQ Capital CEO, joins ""Closing Bell"" to talk about the broader markets, including the performance of the S&P 500 and the Nasdaq."
"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says"," 7:36  PM ET Thu, 16 July 2020","""Look for the stocks of high-quality companies that are going lower even though they deserve to go higher,"" the ""Mad Money"" host advised."
Cramer's lightning round: I would just stay long Wex," 7:23  PM ET Thu, 16 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding'," 8:03  PM ET Thu, 16 July 2020","Investing $5 per day can compound to $70,000 by the time a child reaches adulthood, said Noah Kerner, CEO of micro-investing app Acorns."
Dividend cuts may mean rethinking your retirement income strategy," 8:54  AM ET Thu, 16 July 2020","Hundreds of companies have cut or suspended their dividends so far this year, and the second half of the year is when investors will feel those reductions the most."
,,
"StockX has authenticated 1 million Jordan sneakers this year, CEO says"," 8:25  PM ET Wed, 15 July 2020","""We've been able to capture these cultural moments,"" like ESPN's release of the ""The Last Dance"" earlier this year, CEO Scott Cutler said on ""Mad Money."""
Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug," 7:51  PM ET Wed, 15 July 2020",Biohaven CEO Vlad Coric said the company brought on Khloe Kardashian to promote its migraine treatment to break the stigma around it.
Cramer's lightning round: I like Beyond Meat," 7:24  PM ET Wed, 15 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer: We desperately need another round of federal stimulus, despite vaccine progress"," 6:51  PM ET Wed, 15 July 2020","""We figured we'd have maybe the virus contained in early fall, but we botched the reopening and now states are being forced to shut down again,"" the ""Mad Money"" host said."
Cramer's lightning round: Buy more VMware," 7:31  PM ET Tue, 14 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says"," 7:23  PM ET Tue, 14 July 2020","""This market is divided into four camps,"" the ""Mad Money"" host said."
"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns"," 7:02  PM ET Tue, 14 July 2020","The charts, as interpreted by Larry Williams, suggest the S&P 500 could climb another 5% in coming weeks before equities begin to retreat, Cramer said."
Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks," 9:05  PM ET Mon, 13 July 2020","Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge."
"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says"," 8:33  PM ET Mon, 13 July 2020","Either Crown Castle becomes a leaner, meaner cell tower play with a high dividend, or the company ups its game to fend off Elliott Management's activist position, the ""Mad Money"" host said."
Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession'," 9:43  PM ET Mon, 13 July 2020","Ellevest CEO Sallie Krawcheck, who co-founded the digital investment firm for women, explained how the pandemic is affecting women, and women of color even more severly."
Cramer's lightning round: Zoom's pullback is a buying opportunity," 7:38  PM ET Mon, 13 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'"," 7:24  PM ET Mon, 13 July 2020","""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said."
Stay invested in US markets for the next two years: Strategist," 1:50  AM ET Tue,  7 July 2020","Washington Crossing Advisors' Chad Morganlander says he sees earnings per share potential staying quite robust over the next 24 months, and to stay invested in high-quality sectors and growth names to avoid getting out of the market at the wrong time."
DBS sees signs of a 'healthy' US market rally," 4:59  AM ET Mon,  6 July 2020","Hou Wey Fook of DBS Bank says the U.S. equity rally has been broad, which is a positive indicator. He also explains why the entry of retail investors is a good thing for the markets."
,,
Aggressive policy bolstering markets: Hirtle Callaghan,"10:57  PM ET Thu,  2 July 2020","Hirtle Callaghan's Jonathan Hirtle thinks this recession is one of design, and gives his range predictions for the S&P 500 and the U.S. 10-year treasury."
"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance"," 7:27  PM ET Thu,  2 July 2020","""The stock market is not a proxy for the economy, it's a proxy for big business,"" the ""Mad Money"" host said."
Cramer's lightning round: I don't like Archer-Daniels-Midland Co," 7:37  PM ET Thu,  2 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Sustainable produce supplier Apeel lands deal with Wakefern grocery stores," 7:00  PM ET Thu,  2 July 2020",Apeel will bring limes to Wakefern Food grocery stores in July. The deal is striving to save 1.4 million limes from going bad each year.
Jim Cramer deciphers the speculative and blue-chip stocks driving the market," 8:35  PM ET Wed,  1 July 2020","""The whole market's being upended by the pandemic and the lines they are shifting,"" the ""Mad Money"" host said."
Cramer's lightning round: BlackRock is a buy," 8:00  PM ET Wed,  1 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"The S&P 500 'could get ugly' in the near future, Jim Cramer warns"," 7:13  PM ET Wed,  1 July 2020","The S&P 500 could be riding into a ""make-or-break moment"" in the short term, the ""Mad Money"" host said."
Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality'," 8:00  PM ET Tue, 30 June 2020","""Mrs. Butterworth's was really architected to resemble a loving grandmother, but we can understand how some people may view it differently, may find it offensive,"" Conagra CEO Sean Connolly said."
Cramer's lightning round: Nokia has 'good things coming'," 7:33  PM ET Tue, 30 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer breaks down his favorite stocks from a record second quarter," 7:28  PM ET Tue, 30 June 2020","The best stocks of the second quarter were the ones with ""a lot of ingenuity and a lot more good luck,"" the ""Mad Money"" host said."
Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session," 7:41  PM ET Mon, 29 June 2020","""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" Cramer said."
Cramer's lightning round: James Taiclet will make Lockheed Martin some money," 7:14  PM ET Mon, 29 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business," 7:02  PM ET Mon, 29 June 2020","Popeyes' viral chicken sandwich brought in new customers who are ""now experimenting and exploring the entire menu,"" Restaurant Brands CEO Jose Cil said."
"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index"," 7:01  PM ET Mon, 29 June 2020","""When you look at the biggest winners in the index, they're overwhelmingly tech companies that help facilitate the stay-at-home economy, and a lot of these got hit today,"" the ""Mad Money"" host said."
Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus," 7:36  PM ET Thu, 25 June 2020","""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview."
Cramer's lightning round: Stay in Yeti," 7:31  PM ET Thu, 25 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says"," 7:02  PM ET Thu, 25 June 2020","After Texas put a pause on its reopening, ""many of today's winners were the usual suspects that benefit from the pandemic,"" the ""Mad Money"" host said."
"The Awaken America trade has taken a turn for the worse, Jim Cramer warns"," 9:02  PM ET Wed, 24 June 2020","""I want you to raise a little cash so you can put it to work buying stocks at lower levels,"" the ""Mad Money"" host advised after a brutal sell-off on Wall Street."
Cramer's lightning round: Buy Ulta Beauty," 7:36  PM ET Wed, 24 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states," 6:59  PM ET Wed, 24 June 2020",Rhode Island Gov. Gina Raimondo said she is considering new mitigation actions after neighboring states announced a quarantine for some inbound travelers.
,,
